url,convocatoria,tema_id,periodo,curso,pais,idioma,id_grupo,codigo_grupo,dias,horario,zona_horaria,tipo_grupo,cupo_total,cupo_disponible,tiene_cupos
https://campus.fimlm.org/inscripcion/j232691l/56/1,j232691l,56,1,Confección: Manejo de Máquinas,Colombia,Español,5033,CMM-P-02,Martes,14:00 - 15:30 p.m,America/Bogota,Estudiantes,60,0,No
https://campus.fimlm.org/inscripcion/j232691l/55/1,j232691l,55,1,Repostería 2,Colombia,Español,4679,R2-P-01,Miércoles,10:00 - 11:30 a.m,America/Bogota,Estudiantes,60,42,Sí
https://campus.fimlm.org/inscripcion/j232691l/55/1,j232691l,55,1,Repostería 2,Colombia,Español,4680,R2-P-02,Sábado,10:00 - 11:30 a.m,America/Bogota,Estudiantes,60,25,Sí
https://campus.fimlm.org/inscripcion/j232691l/7/1,j232691l,7,1,Repostería 1,Colombia,Español,4351,R1-P-01,Jueves,10:00 - 11:30 a.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/7/1,j232691l,7,1,Repostería 1,Colombia,Español,4352,R1-P-02,Sábado,14:00 - 15:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/7/1,j232691l,7,1,Repostería 1,Colombia,Español,4354,R1-P-03,Jueves,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/7/1,j232691l,7,1,Repostería 1,Colombia,Español,4355,R1-P-04,Martes,14:00 - 15:30 p.m,Asia/Colombo,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/81/1,j232691l,81,1,Floristería 1,Colombia,Español,4428,FL-P-01,Martes,20:00 - 21:30 p.m,America/Bogota,Estudiantes,60,0,No
https://campus.fimlm.org/inscripcion/j232691l/79/1,j232691l,79,1,Trenzas y Peinados,Colombia,Español,4688,TP-P-02,Sábado,8:00 - 9:30 a.m,America/Bogota,Estudiantes,60,0,No
https://campus.fimlm.org/inscripcion/j232691l/79/1,j232691l,79,1,Trenzas y Peinados,Colombia,Español,4907,TP-P-01,Miércoles,10:00 - 11:30 a.m,America/Bogota,Estudiantes,60,0,No
https://campus.fimlm.org/inscripcion/j232691l/82/1,j232691l,82,1,Pintura en madera 1,Colombia,Español,4448,PM-P-01,Sábado,10:00 - 11:30 a.m,America/Bogota,Estudiantes,60,0,No
https://campus.fimlm.org/inscripcion/j232691l/57/1,j232691l,57,1,Modistería 1 (Faldas),Colombia,Español,4453,MF-P-01,Miércoles,14:00 - 15:30 p.m,America/Bogota,Estudiantes,60,0,No
https://campus.fimlm.org/inscripcion/j232691l/57/1,j232691l,57,1,Modistería 1 (Faldas),Colombia,Español,4905,MF-P-02,Sábado,14:00 - 15:30 p.m,America/Bogota,Estudiantes,60,0,No
https://campus.fimlm.org/inscripcion/j232691l/17/1,j232691l,17,1,El ABC del Reciclaje,Colombia,Español,4258,ABC-P-01,Martes,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,17,Sí
https://campus.fimlm.org/inscripcion/j232691l/17/1,j232691l,17,1,El ABC del Reciclaje,Colombia,Español,4259,ABC-P-02,Jueves,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,33,Sí
